STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,SOURCE,Water source,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,OBS_STATUS_2,Observation status 2,OBS_STATUS_3,Observation status 3,OBS_STATUS_4,Observation status 4,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ENV.EPI:DSD_WATER_ABSTRACT@DF_WATER_ABSTRACT(1.0),Freshwater - abstractions,I,CAN,Canada,A,Annual,PUBLIC,Public water supply,M3,Cubic metres,TOTAL_ABSTRACT,Total freshwater,1995,,5200.990234375,,A,Normal value,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_ABSTRACT@DF_WATER_ABSTRACT(1.0),Freshwater - abstractions,I,CAN,Canada,A,Annual,PUBLIC,Public water supply,M3,Cubic metres,TOTAL_ABSTRACT,Total freshwater,1996,,5200.990234375,,A,Normal value,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_ABSTRACT@DF_WATER_ABSTRACT(1.0),Freshwater - abstractions,I,CAN,Canada,A,Annual,PUBLIC,Public water supply,M3,Cubic metres,TOTAL_ABSTRACT,Total freshwater,1998,,5412.56005859375,,A,Normal value,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_ABSTRACT@DF_WATER_ABSTRACT(1.0),Freshwater - abstractions,I,CAN,Canada,A,Annual,PUBLIC,Public water supply,M3,Cubic metres,TOTAL_ABSTRACT,Total freshwater,2005,,5706.2001953125,,A,Normal value,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_ABSTRACT@DF_WATER_ABSTRACT(1.0),Freshwater - abstractions,I,CAN,Canada,A,Annual,PUBLIC,Public water supply,M3,Cubic metres,TOTAL_ABSTRACT,Total freshwater,2006,,5561.1000976563,,A,Normal value,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_ABSTRACT@DF_WATER_ABSTRACT(1.0),Freshwater - abstractions,I,CAN,Canada,A,Annual,PUBLIC,Public water supply,M3,Cubic metres,TOTAL_ABSTRACT,Total freshwater,2007,,5616.7998046875,,A,Normal value,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_ABSTRACT@DF_WATER_ABSTRACT(1.0),Freshwater - abstractions,I,CAN,Canada,A,Annual,PUBLIC,Public water supply,M3,Cubic metres,TOTAL_ABSTRACT,Total freshwater,2011,,5123.7001953125,,A,Normal value,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_ABSTRACT@DF_WATER_ABSTRACT(1.0),Freshwater - abstractions,I,CAN,Canada,A,Annual,PUBLIC,Public water supply,M3,Cubic metres,TOTAL_ABSTRACT,Total freshwater,2013,,5032.7998046875,,A,Normal value,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_ABSTRACT@DF_WATER_ABSTRACT(1.0),Freshwater - abstractions,I,CAN,Canada,A,Annual,PUBLIC,Public water supply,M3,Cubic metres,TOTAL_ABSTRACT,Total freshwater,2015,,5020.7998046875,,A,Normal value,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_ABSTRACT@DF_WATER_ABSTRACT(1.0),Freshwater - abstractions,I,CAN,Canada,A,Annual,PUBLIC,Public water supply,M3,Cubic metres,TOTAL_ABSTRACT,Total freshwater,2017,,4888.3999023438,,A,Normal value,,,,,,,6,Millions,1,One
