Country,Year,Measure_group,OBS_VALUE_abstraction
Belgium,2019,Services,189.47982
Belgium,2020,Agriculture & Fisheries,112.71095100000001
Belgium,2020,Domestic & Public Use,1518.0677620000001
Belgium,2020,Industry & Manufacturing,1979.45470532031
Belgium,2020,Services,93.841855
Belgium,2021,Agriculture & Fisheries,84.235167169678
Belgium,2021,Domestic & Public Use,1518.70400666016
Belgium,2021,Industry & Manufacturing,2141.8575813359002
Belgium,2021,Services,95.298074
Belgium,2022,Domestic & Public Use,1480.37197412109
Bulgaria,1990,Agriculture & Fisheries,13277.86
Bulgaria,1990,Domestic & Public Use,3324.3
Bulgaria,1990,Industry & Manufacturing,2066.2
Bulgaria,1990,Services,130.22
Bulgaria,1991,Agriculture & Fisheries,7435.030000000001
Bulgaria,1991,Domestic & Public Use,2980.56
Bulgaria,1991,Industry & Manufacturing,1721.48
Bulgaria,1991,Services,142.03
Bulgaria,1992,Agriculture & Fisheries,7407.28
Bulgaria,1992,Domestic & Public Use,3014.06
Bulgaria,1992,Industry & Manufacturing,1295.12
Bulgaria,1992,Services,76.28
Bulgaria,1993,Agriculture & Fisheries,3287.7
Bulgaria,1993,Domestic & Public Use,2757.64
Bulgaria,1993,Industry & Manufacturing,1119.06
Bulgaria,1993,Services,76.38
Bulgaria,1994,Agriculture & Fisheries,3542.96
Bulgaria,1994,Domestic & Public Use,2619.25
Bulgaria,1994,Industry & Manufacturing,1143.28
Bulgaria,1994,Services,58.06
Bulgaria,1995,Agriculture & Fisheries,1535.42
Bulgaria,1995,Domestic & Public Use,2402.74
Bulgaria,1995,Industry & Manufacturing,1258.3400000000001
Bulgaria,1995,Services,53.93
Bulgaria,1996,Agriculture & Fisheries,2726.62
Bulgaria,1996,Domestic & Public Use,2485.36
Bulgaria,1996,Industry & Manufacturing,1230.37
Bulgaria,1996,Services,65.48
Bulgaria,1997,Agriculture & Fisheries,2337.74
Bulgaria,1997,Domestic & Public Use,2329.74
Bulgaria,1997,Industry & Manufacturing,1066.42
Bulgaria,1997,Services,46.82
Bulgaria,1998,Agriculture & Fisheries,2349.9
Bulgaria,1998,Domestic & Public Use,2372.7
Bulgaria,1998,Industry & Manufacturing,1011.85
Bulgaria,1998,Services,40.22
Bulgaria,1999,Agriculture & Fisheries,2166.29
Bulgaria,1999,Domestic & Public Use,2408.27
Bulgaria,1999,Industry & Manufacturing,907.85
Bulgaria,1999,Services,45.08
Bulgaria,2000,Agriculture & Fisheries,4270.88
Bulgaria,2000,Domestic & Public Use,2355.94
Bulgaria,2000,Industry & Manufacturing,893.16
Bulgaria,2000,Services,34.38
Bulgaria,2001,Agriculture & Fisheries,3078.083
Bulgaria,2001,Domestic & Public Use,2150.9
Bulgaria,2001,Industry & Manufacturing,667.7
