STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,SOURCE,Source of water,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,DEU,Germany,A,Annual,PUB_MANU,Total manufacturing,M3,Cubic metres,PUBLIC,Public water supply,1995,,467,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,DEU,Germany,A,Annual,PUB_MANU,Total manufacturing,M3,Cubic metres,PUBLIC,Public water supply,1998,,387,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,DEU,Germany,A,Annual,PUB_MANU,Total manufacturing,M3,Cubic metres,PUBLIC,Public water supply,2001,,360.2,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,DEU,Germany,A,Annual,PUB_MANU,Total manufacturing,M3,Cubic metres,PUBLIC,Public water supply,2004,,349.6,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,DEU,Germany,A,Annual,PUB_MANU,Total manufacturing,M3,Cubic metres,PUBLIC,Public water supply,2010,,318.243,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,DEU,Germany,A,Annual,PUB_MANU,Total manufacturing,M3,Cubic metres,PUBLIC,Public water supply,2011,,372.283,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,DEU,Germany,A,Annual,PUB_MANU,Total manufacturing,M3,Cubic metres,PUBLIC,Public water supply,2012,,399.363,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,DEU,Germany,A,Annual,PUB_MANU,Total manufacturing,M3,Cubic metres,PUBLIC,Public water supply,2013,,418.049,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,DEU,Germany,A,Annual,PUB_MANU,Total manufacturing,M3,Cubic metres,PUBLIC,Public water supply,2014,,388.4988,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,DEU,Germany,A,Annual,PUB_MANU,Total manufacturing,M3,Cubic metres,PUBLIC,Public water supply,2015,,356.0339,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,DEU,Germany,A,Annual,PUB_MANU,Total manufacturing,M3,Cubic metres,PUBLIC,Public water supply,2016,,330.5477,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,DEU,Germany,A,Annual,PUB_MANU,Total manufacturing,M3,Cubic metres,PUBLIC,Public water supply,2017,,344.5918,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,DEU,Germany,A,Annual,PUB_MANU,Total manufacturing,M3,Cubic metres,PUBLIC,Public water supply,2018,,344.0382,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,DEU,Germany,A,Annual,PUB_MANU,Total manufacturing,M3,Cubic metres,PUBLIC,Public water supply,2019,,335.4697,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,DEU,Germany,A,Annual,PUB_CHEM,"Chemicals, refined petroleum etc",M3,Cubic metres,PUBLIC,Public water supply,1995,,101,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,DEU,Germany,A,Annual,PUB_CHEM,"Chemicals, refined petroleum etc",M3,Cubic metres,PUBLIC,Public water supply,2001,,101.5,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,DEU,Germany,A,Annual,PUB_CHEM,"Chemicals, refined petroleum etc",M3,Cubic metres,PUBLIC,Public water supply,2004,,98.5,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,DEU,Germany,A,Annual,PUB_CHEM,"Chemicals, refined petroleum etc",M3,Cubic metres,PUBLIC,Public water supply,2007,,90.9,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,DEU,Germany,A,Annual,PUB_CHEM,"Chemicals, refined petroleum etc",M3,Cubic metres,PUBLIC,Public water supply,2010,,86.216,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,DEU,Germany,A,Annual,PUB_CHEM,"Chemicals, refined petroleum etc",M3,Cubic metres,PUBLIC,Public water supply,2011,,121.587,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,DEU,Germany,A,Annual,PUB_CHEM,"Chemicals, refined petroleum etc",M3,Cubic metres,PUBLIC,Public water supply,2012,,152.782,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,DEU,Germany,A,Annual,PUB_CHEM,"Chemicals, refined petroleum etc",M3,Cubic metres,PUBLIC,Public water supply,2013,,177.635,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,DEU,Germany,A,Annual,PUB_CHEM,"Chemicals, refined petroleum etc",M3,Cubic metres,PUBLIC,Public water supply,2014,,147.1097,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,DEU,Germany,A,Annual,PUB_CHEM,"Chemicals, refined petroleum etc",M3,Cubic metres,PUBLIC,Public water supply,2015,,112.9801,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,DEU,Germany,A,Annual,PUB_CHEM,"Chemicals, refined petroleum etc",M3,Cubic metres,PUBLIC,Public water supply,2016,,84.9577,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,DEU,Germany,A,Annual,PUB_CHEM,"Chemicals, refined petroleum etc",M3,Cubic metres,PUBLIC,Public water supply,2017,,86.96786,,A,Normal value,6,Millions,1,One
